TOKEN=import ; VALUE=import
TOKEN=identifier ; value=axios
TOKEN=from ; VALUE=from
TOKEN=const ; VALUE=const
TOKEN=identifier ; value=globalConst
TOKEN=assignee ; VALUE==
TOKEN=number ; value=100
TOKEN=function ; VALUE=function
TOKEN=identifier ; VALUE=initHandlers
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=list
TOKEN=comma ; VALUE=,
TOKEN=identifier ; value=type
TOKEN=close_round_bracket ; VALUE=)
TOKEN=open_curly_brace ; VALUE={
TOKEN=switch ; VALUE=switch
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=type
TOKEN=close_round_bracket ; VALUE=)
TOKEN=open_curly_brace ; VALUE={
TOKEN=case ; VALUE=case
TOKEN=identifier ; value=left
TOKEN=colon ; VALUE=:
TOKEN=identifier ; VALUE=list
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=children
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=forEach
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=item
TOKEN=assignee ; VALUE==
TOKEN=more ; VALUE=>
TOKEN=open_curly_brace ; VALUE={
TOKEN=identifier ; VALUE=item
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=addEventListener
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=click
TOKEN=comma ; VALUE=,
TOKEN=string ; value=
TOKEN=open_round_bracket ; VALUE=(
TOKEN=close_round_bracket ; VALUE=)
TOKEN=assignee ; VALUE==
TOKEN=more ; VALUE=>
TOKEN=open_curly_brace ; VALUE={
TOKEN=identifier ; VALUE=console
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=log
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=clickedleft
TOKEN=comma ; VALUE=,
TOKEN=string ; value=
TOKEN=identifier ; VALUE=item
TOKEN=dot ; VALUE=.
TOKEN=identifier ; value=id
TOKEN=close_round_bracket ; VALUE=)
TOKEN=close_curly_brace ; VALUE=}
TOKEN=close_round_bracket ; VALUE=)
TOKEN=close_curly_brace ; VALUE=}
TOKEN=close_round_bracket ; VALUE=)
TOKEN=break ; VALUE=break
TOKEN=case ; VALUE=case
TOKEN=identifier ; value=right
TOKEN=colon ; VALUE=:
TOKEN=identifier ; VALUE=list
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=children
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=forEach
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=item
TOKEN=assignee ; VALUE==
TOKEN=more ; VALUE=>
TOKEN=open_curly_brace ; VALUE={
TOKEN=identifier ; VALUE=item
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=addEventListener
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=click
TOKEN=comma ; VALUE=,
TOKEN=string ; value=
TOKEN=open_round_bracket ; VALUE=(
TOKEN=close_round_bracket ; VALUE=)
TOKEN=assignee ; VALUE==
TOKEN=more ; VALUE=>
TOKEN=open_curly_brace ; VALUE={
TOKEN=identifier ; VALUE=console
TOKEN=dot ; VALUE=.
TOKEN=identifier ; VALUE=log
TOKEN=open_round_bracket ; VALUE=(
TOKEN=identifier ; value=clickedright
TOKEN=comma ; VALUE=,
TOKEN=string ; value=
TOKEN=identifier ; VALUE=item
TOKEN=dot ; VALUE=.
TOKEN=identifier ; value=id
TOKEN=close_round_bracket ; VALUE=)
TOKEN=close_curly_brace ; VALUE=}
